LINHA;NOME DA ESTAÇÃO;SIGLA DA ESTAÇÃO;DESCRIÇÃO DO PRODUTO;GRUPO v1;GRUPO;LOCALIZACAO;Codigo;Codigov2;;PAINEL
3;ESTACAO ARTUR ALVIM           ;ART;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;ART-PS -6;ART-PS-6;;
3;ESTACAO ARTUR ALVIM           ;ART;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;ART-PS -7;ART-PS-7;;
3;ESTACAO ARTUR ALVIM           ;ART;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;ART-PER-1;ART-PER-1;;
3;ESTACAO ARTUR ALVIM           ;ART;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;ART-PER-10;ART-PER-10;;
3;ESTACAO ARTUR ALVIM           ;ART;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;ART-PER-2;ART-PER-2;;
3;ESTACAO ARTUR ALVIM           ;ART;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;ART-PER-3;ART-PER-3;;
3;ESTACAO ARTUR ALVIM           ;ART;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;ART-PER-4;ART-PER-4;;
3;ESTACAO ARTUR ALVIM           ;ART;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;ART-PER-5;ART-PER-5;;
3;ESTACAO ARTUR ALVIM           ;ART;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;ART-PER-6;ART-PER-6;;
3;ESTACAO ARTUR ALVIM           ;ART;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;ART-PER-7;ART-PER-7;;
3;ESTACAO ARTUR ALVIM           ;ART;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;ART-PER-8;ART-PER-8;;
3;ESTACAO ARTUR ALVIM           ;ART;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;ART-PER-9;ART-PER-9;;
3;ESTACAO ARTUR ALVIM           ;ART;CLÁSSICO PLATAFORMA;CLÁSSICO;PAINEL CLÁSSICO;PLATAFORMA;ART-PP -1;ART-PP-1;;
3;ESTACAO ARVORE                ;ARV;SUPER MEZANINO PAGO;SUPER;PAINEL SUPER;MEZANINO PAGO;ARV-MPS-9;ARV-MPS-9;x;
3;ESTACAO ARVORE                ;ARV;DUPLA-FACE PLATAFORMA;DUPLA-FACE;PAINEL DUPLA-FACE;PLATAFORMA;ARV-PDF-2;ARV-PDF-2;;
3;ESTACAO ARVORE                ;ARV;DUPLA-FACE PLATAFORMA;DUPLA-FACE;PAINEL DUPLA-FACE;PLATAFORMA;ARV-PDF-3;ARV-PDF-3;;
3;ESTACAO ARVORE                ;ARV;DUPLA-FACE PLATAFORMA;DUPLA-FACE;PAINEL DUPLA-FACE;PLATAFORMA;ARV-PDF-4;ARV-PDF-4;;
1;ESTACAO ARVORE                ;ARV;CLÁSSICO ACESSO;CLÁSSICO;PAINEL CLÁSSICO;ACESSO;ARV-AP -1;ARV-AP-1;;
1;ESTACAO ARVORE                ;ARV;CLÁSSICO MEZANINO LIVRE;CLÁSSICO;PAINEL CLÁSSICO;MEZANINO LIVRE;ARV-MLP-1;ARV-MLP-1;;
